1,Forest tent,2Places,Tent1,555.0
2,mountain tent,4Places,Tent2,423.0
3,-14° cold,winter,SleepingBag,160.0
4,Forest tent,2Places,Tent1,110.0
5,mountain tent,4Places,Tent2,110.0
6,-14° cold,winter,SleepingBag,160.0
7,Forest tent,2Places,Tent1,110.0
8,mountain tent,4Places,Tent2,110.0
9,-14° cold,winter,SleepingBag,160.0
10,Forest tent,2Places,Tent1,110.0
11,mountain tent,4Places,Tent2,110.0
12,-14° cold,winter,SleepingBag,160.0
13,Forest tent,2Places,Tent1,110.0
14,mountain tent,4Places,Tent2,110.0
15,-14° cold,winter,SleepingBag,160.0
16,Forest tent,2Places,Tent1,110.0
17,string,string,Hammock3,41.0
